symbol,asset_turnover,current_ratio,dividend_yield,eps,fut_return,on_bal_vol,operating_leverage,payout_ratio,price,price/book,price/cashflow,price/earnings,price/earnings/growth,profit_margin,roa,roe,ros,rsi,sector,stddev,stoch_osc,vol_roc,p/e,peg,p/b,p/cf
MCO,0.6801147675370001,2.6615510874,1.3820279651700003,4.63,-12.2882236331,-226500.0,0.529100152383,0.30021598272100003,100.576836,5.158438455490001,17.4611531942,21.722858747300002,50.0711894125,27.0139187832,18.3725650935,-282.67267267299997,42.2844023533,60.602888521400004,Financials,1.8196966359599998,79.0739729652,-71.0,31.411547137,1016.40755101,801.146845172,58.461940367
MCK,3.32364952664,1.09472490074,0.509541239322,6.27,-19.2465610506,2717300.0,0.843228406501,0.153110047847,188.40476999999998,2.1428108363,14.028112200499999,30.048607655500003,1.8902670629799998,0.824373760786,2.73992945981,18.2560296846,1.6576838225,53.894214433100004,Health Care,2.23958465187,75.5055755674,-6.0,-72.2521242237,531.567726631,-29.1542465865,-32.926753960700005
MCD,0.669843721582,3.26837039046,3.17816508934,4.8,5.47655905316,25122700.0,1.36786436461,0.7166666666670001,108.238556,2.90698771995,15.5542136444,22.5496991667,-54.3447749917,17.822767874700002,11.9384691621,63.9018609179,28.1174989179,50.5637116726,Consumer Discretionary,1.0252398214299998,51.6288960099,-36.0,-9.28775054414,-12166.123059200001,4.94863523124,158.83700271799998
PBCT,0.006551364031550001,,4.299392842,0.86,-10.2016918414,-23202300.0,,0.7761627906980001,15.525448,,14.242117717100001,18.052846511600002,7.58219553488,101.688260699,0.666196813573,5.47383548905,,42.3951717606,Financials,1.55120282174,39.6824685862,-41.0,9.20995794878,69.0557074371,,29.2488292886
AXP,0.19127208655900002,,1.6211883172600001,5.05,-21.0073308335,-37646500.0,,0.223762376238,69.70195799999999,,6.4692412163699995,13.8023679208,-1.50472873803,16.746675316300003,3.20317153067,24.9746045567,,50.2748585805,Financials,2.2179805442299996,59.1550441346,-62.0,-16.503138757000002,-133.550042351,,-41.2909041891
NFLX,0.664470912158,1.5389287924200001,0.0,0.28,-17.739116569500002,-82733800.0,-1.03828814543,0.0,125.370003,7.94500402408,-70.74488286399999,447.75001071400004,-4.78782189675,1.8089947785299998,1.20202441058,5.51585706023,4.51103331789,60.932662183999994,Information Technology,3.1993313637800003,0.0,-43.0,1328.62860333,-313.090759671,139.310618764,-626.96983099
EXC,0.30872054013300004,1.6817284492200002,4.79205014339,2.54,8.03023921648,38168400.0,5.764379787339999,0.488188976378,25.87619,0.26690394057100003,3.02320579533,10.187476378,0.290188721069,7.70536896798,2.3788056697099997,8.313182384410002,14.97266275,50.253623302799994,Utilities,1.5233825374,92.7710468418,-24.0,-23.1210492236,81.3863800868,-41.570062944499995,-50.3013857729
AAPL,0.804584840901,1.10877062399,1.75268632817,9.22,-8.38874860452,-378079500.0,1.28044228655,0.21475054229899998,112.969444,3.09711391234,7.998279719310001,12.2526511931,0.285305415867,22.8457736987,18.3813631967,44.7354530602,30.4772907173,48.3962664099,Information Technology,2.12481716278,0.0,-14.0,-60.905667131,-87.301961285,-6.7121621966100005,-40.4218094473
SRCL,0.421890370119,1.29706188314,0.0,2.98,0.041462687254800006,1740200.0,-0.7336449017739999,0.0,120.629997,1.58135231406,26.2936203266,40.479864765100004,-1.8940578698700001,8.60508763163,3.6304036058199998,9.35062401786,16.330442867000002,46.85006143060001,Industrials,1.5104575785799998,63.3093213602,-78.0,163.883454421,-223.76322311799998,-23.4877317836,101.406556039
WU,0.579739716035,,3.45499484704,1.62,-1.5075325989100001,-10102000.0,1.2380671166700001,0.38271604938299997,17.945034,,8.611266260419999,11.0771814815,5.870906185190001,15.278005726099998,8.8572667012,59.634137661000004,20.2308660211,50.7462717862,Information Technology,1.8145552252400001,15.277538361800001,-39.0,-64.6562190285,161.295404453,,-35.855748965
UNM,0.177114261995,,1.96552177176,3.5,-13.8456318992,-12030000.0,,0.2,35.613953,,6.80904374762,10.1754151429,0.086679462328,8.08010213115,1.4311013258,5385.71428571,,47.876558994899995,Financials,1.6076630192299999,64.3243416878,-35.0,-38.444241513499996,-98.0673595456,,-38.207157781
AWK,0.183226030973,0.428571428571,2.44681879823,2.64,8.83683044549,6432100.0,1.47307584711,0.515151515152,55.582375,0.633200899977,8.43623387349,21.053929924200002,1.7060943214500002,15.0680595125,2.76086073894,9.427609427610001,34.029756252,52.4799748905,Utilities,1.17857756731,77.89193328350001,-29.0,58.8817467886,966.4173022089999,38.6187429457,38.683623012199995
HSY,1.38213196651,0.8334857289200001,2.73978242501,4.51,0.100832687616,3981800.0,99.1566093207,0.49578713969,81.61232,2.9171998412700004,7.509951532660001,18.0958580931,-0.47452807733400004,6.94432072234,9.59796765606,48.9708457204,14.049161281500002,54.5708475625,Consumer Staples,1.3045077275499999,46.1154334605,-71.0,-17.225317364200002,-207.41954004599998,9.901051745639998,-45.570281046999995
DLPH,1.2665998496600002,1.3040488922799998,1.16419520443,5.06,-22.5475143817,-566200.0,0.6150992241219999,0.197628458498,85.896248,3.04718243133,14.396729208800002,16.975543082999998,1.31121436227,9.56149027366,12.110582143199998,53.055250640299995,11.3616880976,45.600009389300006,Consumer Discretionary,2.12322901317,66.2519023699,-36.0,-31.7112974584,191.12778283900002,10.0099719287,139.575353826
FBHS,0.938670930185,1.87188283415,1.06221312691,1.93,-13.279282311900001,-2919600.0,1.6279407429600001,0.300518134715,54.602978,2.1187985125,21.2379786681,28.291698445599998,0.274256260442,6.878630388260001,6.45677038495,12.837232048299999,10.833296938499998,55.6317083387,Industrials,1.8907903282700003,64.2068308151,-57.0,84.4302386034,-82.07930217319999,2.51610513582,62.680836174
WEC,0.201875647245,0.8146179401989999,3.7266950642300003,2.34,9.315926110089999,11310500.0,0.669413668552,0.74358974359,46.690163,0.474066214604,19.2181091854,19.9530611111,-2.0671371311099995,10.774371002899999,2.1750831198599996,7.351586607100001,21.1015676415,42.3309650023,Utilities,1.4120377632499999,73.5292528828,-38.0,50.574131030100006,-1392.0919875,3.78137924917,215.92734972099998
GPN,0.47875982040700005,1.09496025072,0.11265383021299999,4.12,-7.580221227939999,-14866000.0,1.4664802792299998,0.0194174757282,71.01400799999999,1.71287876269,11.202628244100001,17.2364097087,0.774489342913,10.0240904086,4.7991317237699995,32.1972131415,16.4615508859,29.364622040100002,Information Technology,2.3399336334,9.317577198710001,-43.0,-45.004070710600004,-65.5299369948,-48.406561491400005,-16.5530159431
