asset_turnover,current_ratio,dividend_yield,eps,return,on_bal_vol,operating_leverage,payout_ratio,price,price/book,price/cashflow,price/earnings,price/earnings/growth,profit_margin,roa,roe,ros,rsi,stddev,stoch_osc,vol_roc,period
0.041668033,,2.8689364439999996,2.16,0.9836353520000001,-1202710,,0.453703704,34.159,,7.84505802,15.81435185,34.00085648,18.26441861,0.761042398,7.852079848,,48.56894598,1.4669875209999998,6.746532156,12.0,2016-3-1
0.041668033,,2.846685645,2.16,2.265729391,-482411,,0.453703704,34.426,,7.906378038,15.93796296,34.26662037,18.26441861,0.761042398,7.852079848,,59.82681163,1.772877101,-4.718693285,73.0,2016-4-1
0.041668033,,2.756525653,2.16,6.593159316,3499365,,0.453703704,35.552,,8.164978563,16.45925926,35.38740741,18.26441861,0.761042398,7.852079848,,55.79506019,1.9348638580000002,47.46750336,15.0,2016-5-1
0.041668033,,2.557344537,2.16,-14.26632917,-4545978,,0.453703704,38.321,,8.800915378,17.7412037,38.14358796,18.26441861,0.761042398,7.852079848,,33.52163239,2.7240820489999997,141.1260054,59.0,2016-6-1
0.041668033,,3.116850073,2.16,10.67362127,5592496,,0.453703704,31.441999999999997,,7.221063681,14.55648148,31.29643519,18.26441861,0.761042398,7.852079848,,45.6083391,1.133836018,-353.2745592,-23.0,2016-7-1
0.041668033,,2.832697422,2.16,8.810267083,5615651,,0.453703704,34.596,,7.945420746,16.01666667,34.43583333,18.26441861,0.761042398,7.852079848,,69.19334248,0.821689887,-53.23137642,14.0,2016-8-1
0.041668033,,2.587253815,2.16,-2.212366017,-2420270,,0.453703704,37.878,,8.699174674,17.53611111,37.70263889,18.26441861,0.761042398,7.852079848,,48.97792208,1.129482693,138.7370405,25.0,2016-9-1
0.041668033,,2.673942701,2.16,7.416098226,3859987,,0.453703704,36.65,,8.417148524,16.96759259,36.48032407,18.26441861,0.761042398,7.852079848,,51.23014273,1.191790077,16.22182681,152.0,2016-10-1
0.041668033,,2.5092175340000002,2.16,24.55448587,1691817,,0.453703704,39.056,,8.969717674,18.08148148,38.87518519,18.26441861,0.761042398,7.852079848,,64.80164961,2.228970594,-121.2736502,-42.0,2016-11-1
0.041668033,,1.94780673,2.16,5.787768569,6387874,,0.453703704,50.313,,11.55503393,23.29305556,50.08006944,18.26441861,0.761042398,7.852079848,,44.44499522,1.05664347,-75.05904582,-23.0,2016-12-1
0.652428208,0.8503937009999999,3.286309715,2.65,0.9538313559999999,6376462,2.454957137,0.618867925,49.903999999999996,1.227533156,7.491684617000001,18.83169811,0.310723019,8.68542876,5.666618726,22.21804511,16.87118818,39.37599104,1.293390534,55.34709193,61.0,2016-1-1
